sentence,intensity_level,intensity_level_normalized,intensity_category,clean_sentence
এদের জন্য দেশের মেয়েরা কারাপ হয়,3,2,Negative Character,এদের জন্য দেশের মেয়েরা কারাপ হয়
অ সুদানির মাগি জিয়াউর রহমানের জুতার সমান হবিনা তুই মাগি জিয়াউর রহমান সত্যি কারে্র মানুষ ছিল তাই বাঙ্গাচুটকিজ আর ছিরা গেঞ্জি রেকে গিয়েছিল ৷ কিন্তু শেক মুজিব ত দেশের জনগণের টাকা লুট করে তার পরিবারের জন্য জমা করছিল তুদের কথাইত তুরা জে ডাকাতের দল এইটা বুজা যাছে,3,2,Negative Character,অ সুদানির মাগি জিয়াউর রহমানের জুতার সমান হবিনা তুই মাগি জিয়াউর রহমান সত্যি কারে্র মানুষ ছিল তাই বাঙ্গাচুটকিজ আর ছিরা গেঞ্জি রেকে গিয়েছিল ৷ কিন্তু শেক মুজিব ত দেশের জনগণের টাকা লুট করে তার পরিবারের জন্য জমা করছিল তুদের কথাইত তুরা জে ডাকাতের দল এইটা বুজা যাছে
তুই ভাই আবার অভদ্র সমাজকে রোস্ট করস মাঝখান দিয়ে তো অনেক ধর্ম বিষয়ে ফতুয়াও দিয়েছিলি ভাই আসলে তোদের চিম্মা দিও কামর দিও না এগুলাতেই মানায়,3,2,Negative Character,তুই ভাই আবার অভদ্র সমাজকে রোস্ট করস মাঝখান দিয়ে তো অনেক ধর্ম বিষয়ে ফতুয়াও দিয়েছিলি ভাই আসলে তোদের চিম্মা দিও কামর দিও না এগুলাতেই মানায়
নাম তোমার উঠে না দাড়ি  তাই তুমি সীমিত আকারের নাড়ি,3,2,Negative Character,নাম তোমার উঠে না দাড়ি তাই তুমি সীমিত আকারের নাড়ি
হরেক রকম মিথ্যা দিয়ে সাজাইয়াছে মামলা মিয়া হাসিনার দরবারে সব গড ফাদারের খেলা বাবা হযরত হাসিনার দরবারে সব ধর্ষকের খেলা,3,2,Negative Character,হরেক রকম মিথ্যা দিয়ে সাজাইয়াছে মামলা মিয়া হাসিনার দরবারে সব গড ফাদারের খেলা বাবা হযরত হাসিনার দরবারে সব ধর্ষকের খেলা
"ওর কথা হচ্ছে, “আমি গাছ-বলদ মালায়ন” আমার সাথে কেন দলিল দিয়ে কথা বলে! দামড়া-বলদের সামনে দলিল-প্রমান-যুক্তি সবই অকেজো ।",3,2,Negative Character,"ওর কথা হচ্ছে, আমি গাছ-বলদ মালায়ন আমার সাথে কেন দলিল দিয়ে কথা বলে! দামড়া-বলদের সামনে দলিল-প্রমান-যুক্তি সবই অকেজো ।"
আল্লাহ কইছে তোরা মুসলিমরা কোন চিন্তা করবি না  গরু হিন্দুগো মা  ওরা মালাউনরা গরু ছোট থেকে খুব যত্নসহকারে পালন কইরা বড় করবে  বড় হওয়ার পর তোগো কাছে বিক্রি করবে তোরা জবাই কইরা খাবি  অরা খালি পালবে আর তোরা খাবি  ওরা পালবে আর তোর খাবি  এই জন্যই হিন্দুরা গরুর গোস খাইতে পরে না  রেন্ডিয়ারা এত কষ্ট কইরা গরু পালে  গরু বিক্রি করে বাংলাদেশে  গোস খায় বাংলাদেশেরর মানুষ  ওরা রেন্ডিয়ারা খাইতে পারে না  ওগো লইগা জাহেয নাই  কিন্তু গরুর মুত খাওয়া জাহেজ আছে  আহ কি শান্তি শান্তি 	Religious,3,2,Negative Character,আল্লাহ কইছে তোরা মুসলিমরা কোন চিন্তা করবি না গরু হিন্দুগো মা ওরা মালাউনরা গরু ছোট থেকে খুব যত্নসহকারে পালন কইরা বড় করবে বড় হওয়ার পর তোগো কাছে বিক্রি করবে তোরা জবাই কইরা খাবি অরা খালি পালবে আর তোরা খাবি ওরা পালবে আর তোর খাবি এই জন্যই হিন্দুরা গরুর গোস খাইতে পরে না রেন্ডিয়ারা এত কষ্ট কইরা গরু পালে গরু বিক্রি করে বাংলাদেশে গোস খায় বাংলাদেশেরর মানুষ ওরা রেন্ডিয়ারা খাইতে পারে না ওগো লইগা জাহেয নাই কিন্তু গরুর মুত খাওয়া জাহেজ আছে আহ কি শান্তি শান্তি Religious
অসভ্যরা অসভ্যই রয়ে গেলো মানুষ হলো না,3,2,Negative Character,অসভ্যরা অসভ্যই রয়ে গেলো মানুষ হলো না
হালার আবাল মার্কা জাজ দের আরো রোস্ট করার দরকার,3,2,Negative Character,হালার আবাল মার্কা জাজ দের আরো রোস্ট করার দরকার
ওই বুড়া শয়তানটার হাতের লাঠি টা নিয়ে কেড়ে নিয়ে ওকে কয়টা বাড়ি দেওয়া উচিৎ ছিলো,3,2,Negative Character,ওই বুড়া শয়তানটার হাতের লাঠি টা নিয়ে কেড়ে নিয়ে ওকে কয়টা বাড়ি দেওয়া উচিৎ ছিলো
পাকিস্তান ঠিক কথাই বলেছে জামায়াতের পিছনে বছর যে টাকা খরচ করেছে তাতে পেতেই পারে তবে সে টাকা বাংলাদেশের জনগন দিবে না জামায়াত ও বি এন পির কিছু রাজাকার তারা দিবে 	Political,3,2,Negative Character,পাকিস্তান ঠিক কথাই বলেছে জামায়াতের পিছনে বছর যে টাকা খরচ করেছে তাতে পেতেই পারে তবে সে টাকা বাংলাদেশের জনগন দিবে না জামায়াত ও বি এন পির কিছু রাজাকার তারা দিবে Political
মেয়েটি একটা মাল,3,2,Negative Character,মেয়েটি একটা মাল
শালা তোর তো এটা নিয়ে ভিডিও বানানোর কোনো মানেই ছিল না৷ তুই একটা নষ্ট৷ কে কি করল তোর শরীর এত চুলকাই কেন৷ আমার কাছে মলম আছে আমি তোরে মোলম লাগাইয়া দিমু৷ আরে ঐ মেয়েটা একটা নষ্ট মেয়ে৷ তুই ইইউ টুব খুলছ একটা ভাল কিছু ভিডিও বানানোর চিন্তা করবে৷ আর তা না করে এই সব ভিডিও বানাস৷ ছি ছি ছি ছি ছি ছি৷ 👎👎👎👎👎👎👎👎👎👎😡😡😡😡😡😡😡😡😡😡,3,2,Negative Character,শালা তোর তো এটা নিয়ে ভিডিও বানানোর কোনো মানেই ছিল না৷ তুই একটা নষ্ট৷ কে কি করল তোর শরীর এত চুলকাই কেন৷ আমার কাছে মলম আছে আমি তোরে মোলম লাগাইয়া দিমু৷ আরে ঐ মেয়েটা একটা নষ্ট মেয়ে৷ তুই ইইউ টুব খুলছ একটা ভাল কিছু ভিডিও বানানোর চিন্তা করবে৷ আর তা না করে এই সব ভিডিও বানাস৷ ছি ছি ছি ছি ছি ছি৷
পাকি ও ইন্ডিয়ান দালাল অথবা প্রাচীন ও নব্য দালাল উভয় সমান দোষী  	Geopolitical,3,2,Negative Character,পাকি ও ইন্ডিয়ান দালাল অথবা প্রাচীন ও নব্য দালাল উভয় সমান দোষী Geopolitical
সাবিলায় একটা খানকি 😂,3,2,Negative Character,সাবিলায় একটা খানকি
কাশ্মীর কোনদিনই রেন্ডিয়ার ছিলো না এবং ভবিষ্যতেও	Geopolitical,3,2,Negative Character,কাশ্মীর কোনদিনই রেন্ডিয়ার ছিলো না এবং ভবিষ্যতেও Geopolitical
এই ধার্মিক মোল্লা শালারা ধর্মীয় জ্ঞান দিতে আসে কেনো সব জায়গায় এই শালাদের জন্যই দেশের আর্ট কালচার শিল্প সংগীত ধ্বংসের দিকে আজ অন্যদিনে হুহু করে বাড়ছে জেহাদি মানসিকতা নিজেদের মাথায় তো গু ভরা ভাল করে কোরান হাদিস পড়ে দেখ সব ভূলে ভরা মুহাম্মদ এর বানি এসব দিয়ে জীবন চালানোর কি আছে সব যে ভূয়া সেটা বুঝতে তোদের আরো কত যুগ লাগবে যারা বোঝে তারা তো আবার কথা বলতে পারে না কল্লা হারানোর ভয়ে,3,2,Negative Character,এই ধার্মিক মোল্লা শালারা ধর্মীয় জ্ঞান দিতে আসে কেনো সব জায়গায় এই শালাদের জন্যই দেশের আর্ট কালচার শিল্প সংগীত ধ্বংসের দিকে আজ অন্যদিনে হুহু করে বাড়ছে জেহাদি মানসিকতা নিজেদের মাথায় তো গু ভরা ভাল করে কোরান হাদিস পড়ে দেখ সব ভূলে ভরা মুহাম্মদ এর বানি এসব দিয়ে জীবন চালানোর কি আছে সব যে ভূয়া সেটা বুঝতে তোদের আরো কত যুগ লাগবে যারা বোঝে তারা তো আবার কথা বলতে পারে না কল্লা হারানোর ভয়ে
শয়তানের বাচ্চা আছো কেমন,3,2,Negative Character,শয়তানের বাচ্চা আছো কেমন
তুমি একটা অসামাজিক নয়কা,3,2,Negative Character,তুমি একটা অসামাজিক নয়কা
কুখ্যাত ভোট চোর কুখ্যাত নির্লজ্জ বেহায়া কুখ্যাত সন্ত্রাসী খুনি কুখ্যাত স্বৈরাচারী হাসিনার আইনের ধরণ দেখলে মনে হয় আমরা দাজ্জালের হাতে বন্দি যে অপরাধী তার সন্ধান নাই যে অপরাধীর মুখোশ খুলে দিল তার সন্ধানে আইন ব্যস্ত তাই এই রকম আইনকে আমি পুটকিও মারিনা,3,2,Negative Character,কুখ্যাত ভোট চোর কুখ্যাত নির্লজ্জ বেহায়া কুখ্যাত সন্ত্রাসী খুনি কুখ্যাত স্বৈরাচারী হাসিনার আইনের ধরণ দেখলে মনে হয় আমরা দাজ্জালের হাতে বন্দি যে অপরাধী তার সন্ধান নাই যে অপরাধীর মুখোশ খুলে দিল তার সন্ধানে আইন ব্যস্ত তাই এই রকম আইনকে আমি পুটকিও মারিনা
তাই কিছু ওই কইলোনা আমি সামনে ওইলে ধরষন করলামনে,3,2,Negative Character,তাই কিছু ওই কইলোনা আমি সামনে ওইলে ধরষন করলামনে
ময়ুরির দুধ দুইটারে কতো মানুষে টিপছে তাই এতো বড়ো দুধ,3,2,Negative Character,ময়ুরির দুধ দুইটারে কতো মানুষে টিপছে তাই এতো বড়ো দুধ
মান্নার ফাঁসানোর মতো কি আছে এখানে? বলদার বলদা,3,2,Negative Character,মান্নার ফাঁসানোর মতো কি আছে এখানে? বলদার বলদা
ডিসি ভালো করে ছুদতে পারে নাই পাওয়ার কম হারবাল খাওয়া দরকার,3,2,Negative Character,ডিসি ভালো করে ছুদতে পারে নাই পাওয়ার কম হারবাল খাওয়া দরকার
বিশ্ব আজ অন্ধ হয়েগেছে  আর আমরা মুসলমান হয়েগেছি প্রতিবাদহীন একটা বোবা প্রাণ  যুগ যুগ ধরে আমাদেরকে ইহুদিরা অত্যাচার করেছে কিন্তু আমরা এতই শান্তময় মুসলিম যে প্রতিবাদও করতে পারিনা  আর আমাদের দেশের রাজনৈতিক স্বার্থবাদী যারা আছেন তারা পারেন একদল আরেক দলের সমালোচনা করতে এতচ বার্মায় যে রোহিঙ্গাদের উপর অত্যচার করা হচ্ছে তার কোন প্রতিবাদ কেউ করেননি অতচ ভারতের হাতিকে বঙ্গবীর নাম করন করতে পারি কিন্তু পারিনা আমাদের মুসলিম ভাই বোনদের পাশে দাড়াঁতে এই ভাবে চলতে থাকলে মুসলিম বলতে কোন জাতি তাকবেনা তাকবে শুধু	Geopolitical,3,2,Negative Character,বিশ্ব আজ অন্ধ হয়েগেছে আর আমরা মুসলমান হয়েগেছি প্রতিবাদহীন একটা বোবা প্রাণ যুগ যুগ ধরে আমাদেরকে ইহুদিরা অত্যাচার করেছে কিন্তু আমরা এতই শান্তময় মুসলিম যে প্রতিবাদও করতে পারিনা আর আমাদের দেশের রাজনৈতিক স্বার্থবাদী যারা আছেন তারা পারেন একদল আরেক দলের সমালোচনা করতে এতচ বার্মায় যে রোহিঙ্গাদের উপর অত্যচার করা হচ্ছে তার কোন প্রতিবাদ কেউ করেননি অতচ ভারতের হাতিকে বঙ্গবীর নাম করন করতে পারি কিন্তু পারিনা আমাদের মুসলিম ভাই বোনদের পাশে দাড়াঁতে এই ভাবে চলতে থাকলে মুসলিম বলতে কোন জাতি তাকবেনা তাকবে শুধু Geopolitical
বাংলাদেশের আবারো একটা মাগি এসেচে তোদের বিচার আল্লাহ্ দেখবি এ দুনিয়াতে করবে,3,2,Negative Character,বাংলাদেশের আবারো একটা মাগি এসেচে তোদের বিচার আল্লাহ্ দেখবি এ দুনিয়াতে করবে
ইন্ডিয়ান হিন্দুগুলা আস্ত বেয়াদব  উগ্র  	Religious,3,2,Negative Character,ইন্ডিয়ান হিন্দুগুলা আস্ত বেয়াদব উগ্র Religious
হোগায় কারেন্ট থাকলে পাইবাও মাদারচোদ,3,2,Negative Character,হোগায় কারেন্ট থাকলে পাইবাও মাদারচোদ
যারা আজেবাজে কথা বলতেসেন তারা একটা রিজেক্টেড হুরও পাবে না,3,2,Negative Character,যারা আজেবাজে কথা বলতেসেন তারা একটা রিজেক্টেড হুরও পাবে না
[নাম] বলেছি আওয়ামীলিগ জিতলে তার নুনুর পিক দিবে কই সেটা ফ্যামিলির কেউ দেখলে দুঃখিত আমি,3,2,Negative Character,[নাম] বলেছি আওয়ামীলিগ জিতলে তার নুনুর পিক দিবে কই সেটা ফ্যামিলির কেউ দেখলে দুঃখিত আমি
কম বয়সে পাকলে বাল যইরা পরে চেডের বাল,3,2,Negative Character,কম বয়সে পাকলে বাল যইরা পরে চেডের বাল
তুমি পাকিস্তানের রাজাকার নাকি ভাই এদের মতু লোচ্চা আর কোনু দেশ নাই  	Geopolitical,3,2,Negative Character,তুমি পাকিস্তানের রাজাকার নাকি ভাই এদের মতু লোচ্চা আর কোনু দেশ নাই Geopolitical
মাসুদ রানাতো সেই হতে পারতো যে বিচারক দের গালে জুতা মারতে পারত,3,2,Negative Character,মাসুদ রানাতো সেই হতে পারতো যে বিচারক দের গালে জুতা মারতে পারত
সাজু হালারে কেও ধইরা (তেরে নাম) এর পাগলা গারদ এ ভর্তি করায় দিয়ায়।,3,2,Negative Character,সাজু হালারে কেও ধইরা (তেরে নাম) এর পাগলা গারদ এ ভর্তি করায় দিয়ায়।
অই শালায় আমার চুলের জাজ,3,2,Negative Character,অই শালায় আমার চুলের জাজ
তোমরাইতো চেয়েছিলে যুদ্ধ হোক   ভারত তো তাই একটু সময় নিল কারন ওখানে বেশ কিছু ভারতীয় ছিল তাই তোমাদের মত পিয়াজ খাওয়া মাথাতো আর ওদের না  এখন বুঝবে দারিকা হয়ে রুয়ের পিছনে লাগার মাজা 	Geopolitical,3,2,Negative Character,তোমরাইতো চেয়েছিলে যুদ্ধ হোক ভারত তো তাই একটু সময় নিল কারন ওখানে বেশ কিছু ভারতীয় ছিল তাই তোমাদের মত পিয়াজ খাওয়া মাথাতো আর ওদের না এখন বুঝবে দারিকা হয়ে রুয়ের পিছনে লাগার মাজা Geopolitical
এর যদি ভিডিও বাহির হয় প্রভার চেয়ে ও বেশি চিল্লাই বো 	Personal,3,2,Negative Character,এর যদি ভিডিও বাহির হয় প্রভার চেয়ে ও বেশি চিল্লাই বো Personal
মেয়েরা যখন যৌন উত্তেজনায় পাগল হয়ে ওঠে তখন মুখের অবয়বটা এরকমই হয়,3,2,Negative Character,মেয়েরা যখন যৌন উত্তেজনায় পাগল হয়ে ওঠে তখন মুখের অবয়বটা এরকমই হয়
বাংলাদেশে হায়দ্রাবাদে কিছুই করে নি। পাকি জারজ হয়ে এখন পাকিস্তানের মতই কথা বলা শুরু করেছে। হায়দ্রাবাদের নিজাম নিজে চুক্তি শাক্ষর করে। আপনারা জুন্মাল্যান্ড এর চাকমাদের উপর আর হিন্দুদের উপর যে জেনেসাইট চালাচ্ছেন সেটার বিচার ইতিহাস করবে। কাস্মিরে ধর্মের নামে কেউ মরে না জঙ্গিরা মরে। ধর্মের নামে মানুষ মারতে মুসলিমদের মত কেউ পারে না। বাংলাদেশের সাথে ভারতের তুলনা করেন কোন সাহসে? আপনাদের ঢাকা অন্যতম নুংরা রাজধানি আপনাদের স্যানিটেশন আমাদের থেকে ভাল না। ছোট গুরুত্বহীন দেশ তাই কেউ কেয়ার করে না। ছিলে,3,2,Negative Character,বাংলাদেশে হায়দ্রাবাদে কিছুই করে নি। পাকি জারজ হয়ে এখন পাকিস্তানের মতই কথা বলা শুরু করেছে। হায়দ্রাবাদের নিজাম নিজে চুক্তি শাক্ষর করে। আপনারা জুন্মাল্যান্ড এর চাকমাদের উপর আর হিন্দুদের উপর যে জেনেসাইট চালাচ্ছেন সেটার বিচার ইতিহাস করবে। কাস্মিরে ধর্মের নামে কেউ মরে না জঙ্গিরা মরে। ধর্মের নামে মানুষ মারতে মুসলিমদের মত কেউ পারে না। বাংলাদেশের সাথে ভারতের তুলনা করেন কোন সাহসে? আপনাদের ঢাকা অন্যতম নুংরা রাজধানি আপনাদের স্যানিটেশন আমাদের থেকে ভাল না। ছোট গুরুত্বহীন দেশ তাই কেউ কেয়ার করে না। ছিলে
কাশ্মীরে ভারতীয় সেনাবাহিনী বিক্ষোভকারী দের উপর গুলি চালালে সেটা পাকিস্তানসহ বাংলাদেশের তৃতীয় শ্রেণীর কিছু নির্বোধ মানুষ এর সমালোচনায় নিউজফিড সয়লাব হয়ে যায়  আর এখন সবাই নিশ্চুপ কেন এবারের স্ক্রিপ্টে মায়ানমার আছে বলে সবাই নিশ্চুপ    	Geopolitical,3,2,Negative Character,কাশ্মীরে ভারতীয় সেনাবাহিনী বিক্ষোভকারী দের উপর গুলি চালালে সেটা পাকিস্তানসহ বাংলাদেশের তৃতীয় শ্রেণীর কিছু নির্বোধ মানুষ এর সমালোচনায় নিউজফিড সয়লাব হয়ে যায় আর এখন সবাই নিশ্চুপ কেন এবারের স্ক্রিপ্টে মায়ানমার আছে বলে সবাই নিশ্চুপ Geopolitical
ষ্টেশনে শুরু তো দেখবে ষ্টেশনে শেষ মেশ ফিরে যাবে !আর সাথি খনকি কথা বলো না মেয়ে হয়ে কলঙ্ক,3,2,Negative Character,ষ্টেশনে শুরু তো দেখবে ষ্টেশনে শেষ মেশ ফিরে যাবে !আর সাথি খনকি কথা বলো না মেয়ে হয়ে কলঙ্ক
সমাধান ধর্ষণলীগের  টিকা বের করা,3,2,Negative Character,সমাধান ধর্ষণলীগের টিকা বের করা
আমার মনে হয় এর জন্ম পতিতালয়ে । কারণ সে জাহান্নমে যাবে ।,3,2,Negative Character,আমার মনে হয় এর জন্ম পতিতালয়ে । কারণ সে জাহান্নমে যাবে ।
লুচ্চু কাদের,3,2,Negative Character,লুচ্চু কাদের
সালারপুত এত বড় করে লেখা লিখস কেন?পড়তে পড়তে মাথা ঘুরে মাটিতে পড়ে যদি মরে যাই তার দায় বার কি তুই নিবি বাইনচুদ।,3,2,Negative Character,সালারপুত এত বড় করে লেখা লিখস কেন?পড়তে পড়তে মাথা ঘুরে মাটিতে পড়ে যদি মরে যাই তার দায় বার কি তুই নিবি বাইনচুদ।
আমরা কাউরে জামাতের আমির হইতে দিমুনা । আমির হইলেই রাজাকার বানাইয়া দিমু । তারপর মুহাহাহা,3,2,Negative Character,আমরা কাউরে জামাতের আমির হইতে দিমুনা । আমির হইলেই রাজাকার বানাইয়া দিমু । তারপর মুহাহাহা
এই মাগীকে নিয়া আর ভিডিও বানাবেন না অন্য কিছু করবেন আমরা দেখবো,3,2,Negative Character,এই মাগীকে নিয়া আর ভিডিও বানাবেন না অন্য কিছু করবেন আমরা দেখবো
এ সব চিটারি কথা বাদ দেও কোন খানকির পোলা দালালের বাচচা এই মানুুষ ঠকানো প্রচার করছে	Gender abusive,3,2,Negative Character,এ সব চিটারি কথা বাদ দেও কোন খানকির পোলা দালালের বাচচা এই মানুুষ ঠকানো প্রচার করছে Gender abusive
আসে পাসের মানুস গুলা সব হিজরা জন রে জদি সবাই মিলে দরতো তো ছেলেটা আজ বেচে জেতো হায়রে বাঙ্গালি,3,2,Negative Character,আসে পাসের মানুস গুলা সব হিজরা জন রে জদি সবাই মিলে দরতো তো ছেলেটা আজ বেচে জেতো হায়রে বাঙ্গালি
পাটক্ষেতে কনডম বিস্ফোরণের ফলে জন্ম না হলে কেউ সময় টিভির মত দালালের চাকরি করে না,3,2,Negative Character,পাটক্ষেতে কনডম বিস্ফোরণের ফলে জন্ম না হলে কেউ সময় টিভির মত দালালের চাকরি করে না
নাম কচুর যুক্তি বুজস সারাজীবন সংশয় নিয়ে থাকবি,3,2,Negative Character,নাম কচুর যুক্তি বুজস সারাজীবন সংশয় নিয়ে থাকবি
পাছা দা দেখাইলে লাইক পাইতি,3,2,Negative Character,পাছা দা দেখাইলে লাইক পাইতি
ক্ষমতার চোদায় দরছে তরে তর বউ চোদে আরেক জন গিয়া দেখ সালা,3,2,Negative Character,ক্ষমতার চোদায় দরছে তরে তর বউ চোদে আরেক জন গিয়া দেখ সালা
জুতা মার মাদারচোদ পাপনরে,3,2,Negative Character,জুতা মার মাদারচোদ পাপনরে
শালা সুসবন সিংগা শুব এটা পর সব বুজে যাবি,3,2,Negative Character,শালা সুসবন সিংগা শুব এটা পর সব বুজে যাবি
ওই শালি শাবনম ফারিয়া আমার জেলার তাই গালি দিতে পারলাম না। তা না হলে অই গালিডা দিতাম,3,2,Negative Character,ওই শালি শাবনম ফারিয়া আমার জেলার তাই গালি দিতে পারলাম না। তা না হলে অই গালিডা দিতাম
"বিয়া একটা ধর্মিও সামাযিক প্রথা যাকে আমরা পরিবার বলি আর আসিফ রা বলে সেক্স,যা তারা সম্মতো ভাবে মা বনের সাথে করতে পারে।",3,2,Negative Character,"বিয়া একটা ধর্মিও সামাযিক প্রথা যাকে আমরা পরিবার বলি আর আসিফ রা বলে সেক্স,যা তারা সম্মতো ভাবে মা বনের সাথে করতে পারে।"
হায় রে এই জংগী নেত্রী খালেদা তার শাসন আমলে আওয়ামী লীগের এই নিরপেক্ষর সরকার গঠনের দাবি করলে তাইনে বলেছিল এই দেশে পাগল ও শিশু ছারা কেহই নিরপক্ষ নয় মনে পরলো একটি প্রবাদ পরের জন্য গর্ত করলে সেই গর্তে নিজেকে পরতে হয় আর সবচেয়ে বর কথা হলো বর্তমান বাংলাদেশের জন্য জন নেত্রী যে প্রজ্ঞা ও মেধা খাটিয়ে দেশ কে সকল সুচকে বিশ্ব দরবারে আজ রোল মোডেল হিসাবে দারাতে তাঁর নিরন্তন চেষ্টা অব্যাহত আছে যা সালে এই দেশকে একটি শক্তিশালী দেশ গরতে এই সময় বি এন পি জামাত শিবিরের নির্বাচন হউক আর আদর করে গদিতে বসালে জাত 	Political,3,2,Negative Character,হায় রে এই জংগী নেত্রী খালেদা তার শাসন আমলে আওয়ামী লীগের এই নিরপেক্ষর সরকার গঠনের দাবি করলে তাইনে বলেছিল এই দেশে পাগল ও শিশু ছারা কেহই নিরপক্ষ নয় মনে পরলো একটি প্রবাদ পরের জন্য গর্ত করলে সেই গর্তে নিজেকে পরতে হয় আর সবচেয়ে বর কথা হলো বর্তমান বাংলাদেশের জন্য জন নেত্রী যে প্রজ্ঞা ও মেধা খাটিয়ে দেশ কে সকল সুচকে বিশ্ব দরবারে আজ রোল মোডেল হিসাবে দারাতে তাঁর নিরন্তন চেষ্টা অব্যাহত আছে যা সালে এই দেশকে একটি শক্তিশালী দেশ গরতে এই সময় বি এন পি জামাত শিবিরের নির্বাচন হউক আর আদর করে গদিতে বসালে জাত Political
পাকিস্তান ইন্ডিয়া খেলায় ধম নিয়ে কথা বলা এদেরকে পাগল বলা হয়। আর পাকিস্তান কি বলব সাল থেকে ভারতের সাথে যত ম্যাচ খেলেছে সবতো হেরেছে আমাদের দেশে কতগুলো রাজাকার আছে যারা সালে সুদা এখনো ভুলে নাই। তাই ওরা পাকিস্তানি নিয়ে বেশি মাথা ব্যথা। কেইস করে ভারতের বাল ও হারতে পারবে না। ভিক্ষুক পাকিস্তানী।,3,2,Negative Character,পাকিস্তান ইন্ডিয়া খেলায় ধম নিয়ে কথা বলা এদেরকে পাগল বলা হয়। আর পাকিস্তান কি বলব সাল থেকে ভারতের সাথে যত ম্যাচ খেলেছে সবতো হেরেছে আমাদের দেশে কতগুলো রাজাকার আছে যারা সালে সুদা এখনো ভুলে নাই। তাই ওরা পাকিস্তানি নিয়ে বেশি মাথা ব্যথা। কেইস করে ভারতের বাল ও হারতে পারবে না। ভিক্ষুক পাকিস্তানী।
বেষসার সন্তান তোর মাইরে চুদি বার,3,2,Negative Character,বেষসার সন্তান তোর মাইরে চুদি বার
"তোমরা কোন দেশে থাকো,কথা কথা ষড়যন্ত্র খুজো,কি বাল আছে তোমার দেশে",3,2,Negative Character,"তোমরা কোন দেশে থাকো,কথা কথা ষড়যন্ত্র খুজো,কি বাল আছে তোমার দেশে"
বাল কামানের জন্য  তৈরি করছে ভারত 	Geopolitical,3,2,Negative Character,বাল কামানের জন্য তৈরি করছে ভারত Geopolitical
ফাকিস্তান থেকে আগত জঙ্গি স্বাধীনতা কামী কেমনে হয়  ফাকিস্তান জঙ্গি তৈরির কারখানা  কয়েক দিন আগে তাদের জেল থেকে জঙ্গি মুক্তি দিয়ে ভারতের বিরুদ্ধ লেলিয়ে দিয়েছে যখন মোদি টাকা ব্যন করল তখন তারা চুপ হয়ে গেছে এখন জঙ্গি দের হাতে নতুন নোট আসল আবার জঙ্গি চাজ্ঞা হা কি স্বাধীনতা কামি রে 	Geopolitical,3,2,Negative Character,ফাকিস্তান থেকে আগত জঙ্গি স্বাধীনতা কামী কেমনে হয় ফাকিস্তান জঙ্গি তৈরির কারখানা কয়েক দিন আগে তাদের জেল থেকে জঙ্গি মুক্তি দিয়ে ভারতের বিরুদ্ধ লেলিয়ে দিয়েছে যখন মোদি টাকা ব্যন করল তখন তারা চুপ হয়ে গেছে এখন জঙ্গি দের হাতে নতুন নোট আসল আবার জঙ্গি চাজ্ঞা হা কি স্বাধীনতা কামি রে Geopolitical
চোরের বাচ্চারা তোরা তের বছর ধরে কি বাল ছিড়তেছ।,3,2,Negative Character,চোরের বাচ্চারা তোরা তের বছর ধরে কি বাল ছিড়তেছ।
ভারত একটা বাস্টার্ড এর দেশ এইডস নং বাস্টার্ড যাদের রেপ হল প্রধান জাতিয় কাজ তাই তারা রেন্ডিই	Geopolitical,3,2,Negative Character,ভারত একটা বাস্টার্ড এর দেশ এইডস নং বাস্টার্ড যাদের রেপ হল প্রধান জাতিয় কাজ তাই তারা রেন্ডিই Geopolitical
ঔ শালার পুতেরা তদন্ত ছুদাও চুপ চুপ এক নেতা বলছ তাদের। কয়লা কি কন ম নাকি সব খাইয়া পালায়ছে।,3,2,Negative Character,ঔ শালার পুতেরা তদন্ত ছুদাও চুপ চুপ এক নেতা বলছ তাদের। কয়লা কি কন ম নাকি সব খাইয়া পালায়ছে।
পাপন নান্নু দুই রাজাকারেরে জুতার মালা গলায় দিয়ে দেশ থেকে তাড়িয়ে দেওয়া উচিত 	Political,3,2,Negative Character,পাপন নান্নু দুই রাজাকারেরে জুতার মালা গলায় দিয়ে দেশ থেকে তাড়িয়ে দেওয়া উচিত Political
আপনার ধর্মে নারীদের শস‍্যক্ষেত্রের সঙ্গে তুলনা করা হয়। এরকম বর্বর ধর্মকে সন্মানকরে কি লাভ !আর কাল্পনিক জান্নাতে পুরুষ ৭২ টা হুর পাবে আপনি কি পাবেন ?,3,2,Negative Character,আপনার ধর্মে নারীদের শস‍্যক্ষেত্রের সঙ্গে তুলনা করা হয়। এরকম বর্বর ধর্মকে সন্মানকরে কি লাভ !আর কাল্পনিক জান্নাতে পুরুষ ৭২ টা হুর পাবে আপনি কি পাবেন ?
ওবায়দুল কাদের হল লুচ্চা,3,2,Negative Character,ওবায়দুল কাদের হল লুচ্চা
না আইবি এখন ভারতের দালাল হাসিনা আর গড পাদার শামিমের সহ যুগি	Geopolitical,3,2,Negative Character,না আইবি এখন ভারতের দালাল হাসিনা আর গড পাদার শামিমের সহ যুগি Geopolitical
